Agency,Sub_contractor,Cluster,Site,Machines,Total_capacity_per_day,Total_waste_to_be_remediated,date,ticket_no,net_weight_calculated,_source_company
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",11-06-2025,T0001,0.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",11-06-2025,T0002,0.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",11-06-2025,T0003,0.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0112,17990.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0112,17990.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0112,17990.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0113,16490.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0113,16490.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0113,16490.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0114,18820.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0114,18820.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0114,18820.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0115,16360.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0115,16360.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0115,16360.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0116,16750.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0116,16750.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0116,16750.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0117,17990.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0117,17990.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0117,17990.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0118,17750.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0118,17750.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0118,17750.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0119,16930.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0119,16930.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0119,16930.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0120,18110.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0120,18110.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0120,18110.0,Saurashtra Enviro Projects Pvt  Ltd 
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",13-06-2025,T0121,17880.0,Saurashtra Enviro Projects Pvt  Ltd 
