Agency,Sub_contractor,Cluster,Site,Machines,Total_capacity_per_day,Total_waste_to_be_remediated
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308"
Saurashtra,Saurashtra,Kurnool,Dhone,M2,1800,"50,000"
Saurashtra,Saurashtra,Kurnool,Yemmiganur,M3,600,"41,357"
Saurashtra,Saurashtra,Kurnool,Adoni,M2_moved,1800,"10,000"
Saurashtra,Saurashtra,Kurnool,Gudur(K),M1,1800,"2,666"
Saurashtra,Saurashtra,Nandyal,Nandyal,M4,1800,"80,083"
Saurashtra,Saurashtra,Nandyal,Bethamcherla,M5,1200,"24,189"
Saurashtra,Saurashtra,Nandyal,Nandikotkur,M5,1200,"19,700"
Saurashtra,Saurashtra,Nandyal,Atmakur(K),M5,1200,"3,596"
Saurashtra,Saurashtra,Nandyal,Giddalur,M6,600,"9,773"
Saurashtra,Saurashtra,Nandyal,Allagadda,M6,600,"6,153"
Zigma,Zigma,Nellore Municipal Corporation ,Allipuram,M1,  800 ,"35,000"
Zigma,Zigma,Nellore Municipal Corporation ,Donthali,"M2,M12",1400,"289,479"
Zigma,Zigma,GVMC , GVMC ,M3,"1,300","201,400"
Zigma,Zigma,Chittoor ,Chittoor,M3,"1,300","146,232"
Zigma,Zigma,Chittoor ,Madanapalle,M4,500,"27,532"
Zigma,Zigma,Chittoor ,B.Kothakota,M4,500,"25,772"
Zigma,Zigma,Chittoor ,Punganur,M5,500,"22,945"
Zigma,Zigma,Chittoor ,Kuppam,M6,500,"20,000"
Zigma,Zigma,Chittoor ,Palamaneru,M7,500,"13,177"
Zigma,Zigma,Tirupati ,Tirupati,M8,"1,800","221,473"
Zigma,Zigma,Tirupati ,Srikalahasti,M9,800,"50,307"
Zigma,Zigma,Tirupati ,Sullurpet,M10,800,"38,261"
Zigma,Zigma,Tirupati ,Nagari,M4,500,"21,977"
Zigma,Zigma,Tirupati ,Puttur,M4,500,"20,034"
Zigma,Zigma,Tirupati ,Venkatagiri,M11,400,"15,093"
Zigma,Zigma,Nellore  ,Kavali,M5,500,"18,536"
Zigma,Zigma,Nellore  ,Gudur(N),M8,"1,800","26,563"
Zigma,Zigma,Nellore  ,Atmakur(N),M9,800,"12,784"
Zigma,Zigma,Nellore  ,Buchireddypalem,M11,400,"6,030"
