date,time,site_name,cluster,agency_name,material,ticket_no,vehicle_no,transfer_party_name,first_weight,first_timestamp,second_weight,second_timestamp,net_weight,material_type,first_front_image,first_back_image,second_front_image,second_back_image,site_incharge,user_name,cloud_upload_timestamp,record_status,net_weight_calculated,_source_file,_processed_timestamp,_folder_source
2025-08-20,10:21:32 AM,Tirupati,Tirupati,zigma,MSW,8499,AP39UQ4509,,27320,10:14:26 AM,11860,10:21:32 AM,15460,MSW,,,,,,,,,,https://zigmaglobal.in/tpty/api/product/search.php?from_date=2025-08-20&to_date=2025-08-20,2025-08-20T05:06:49.505052,zigmaglobal_api
2025-08-20,10:18:15 AM,Tirupati,Tirupati,zigma,MSW,8498,AP39 WB1708,,28620,10:13:39 AM,12530,10:18:15 AM,16090,MSW,,,,,,,,,,https://zigmaglobal.in/tpty/api/product/search.php?from_date=2025-08-20&to_date=2025-08-20,2025-08-20T05:06:49.505387,zigmaglobal_api
2025-08-20,10:05:27 AM,Tirupati,Tirupati,zigma,MSW,8497,AP39TF6296,,25930,10:00:56 AM,12330,10:05:27 AM,13600,MSW,,,,,,,,,,https://zigmaglobal.in/tpty/api/product/search.php?from_date=2025-08-20&to_date=2025-08-20,2025-08-20T05:06:49.505412,zigmaglobal_api
2025-08-20,09:58:34 AM,Tirupati,Tirupati,zigma,MSW,8496,AP39VD2146,,25980,09:55:10 AM,11530,09:58:34 AM,14450,MSW,,,,,,,,,,https://zigmaglobal.in/tpty/api/product/search.php?from_date=2025-08-20&to_date=2025-08-20,2025-08-20T05:06:49.505432,zigmaglobal_api
2025-08-20,09:56:02 AM,Tirupati,Tirupati,zigma,MSW,8495,AP16TX9777,,25600,09:48:22 AM,11950,09:56:02 AM,13650,MSW,,,,,,,,,,https://zigmaglobal.in/tpty/api/product/search.php?from_date=2025-08-20&to_date=2025-08-20,2025-08-20T05:06:49.505451,zigmaglobal_api
2025-08-20,10:18:23 AM,Tirupati,Tirupati,zigma,MSW,8494,AP39WB1708,,27880,09:27:38 AM,12540,10:18:23 AM,15340,MSW,,,,,,,,,,https://zigmaglobal.in/tpty/api/product/search.php?from_date=2025-08-20&to_date=2025-08-20,2025-08-20T05:06:49.505469,zigmaglobal_api
2025-08-20,10:16:59 AM,Tirupati,Tirupati,zigma,MSW,8493,AP39UD6039,,32320,09:25:38 AM,14120,10:16:59 AM,18200,MSW,,,,,,,,,,https://zigmaglobal.in/tpty/api/product/search.php?from_date=2025-08-20&to_date=2025-08-20,2025-08-20T05:06:49.505486,zigmaglobal_api
2025-08-20,09:29:45 AM,Tirupati,Tirupati,zigma,MSW,8492,AP39VD2146,,26510,09:19:39 AM,11470,09:29:45 AM,15040,MSW,,,,,,,,,,https://zigmaglobal.in/tpty/api/product/search.php?from_date=2025-08-20&to_date=2025-08-20,2025-08-20T05:06:49.505504,zigmaglobal_api
2025-08-20,09:24:26 AM,Tirupati,Tirupati,zigma,MSW,8491,AP39TF6296,,25780,09:18:46 AM,12440,09:24:26 AM,13340,MSW,,,,,,,,,,https://zigmaglobal.in/tpty/api/product/search.php?from_date=2025-08-20&to_date=2025-08-20,2025-08-20T05:06:49.505522,zigmaglobal_api
2025-08-20,09:23:48 AM,Tirupati,Tirupati,zigma,MSW,8490,AP39WB5050,,27120,09:13:55 AM,11860,09:23:48 AM,15260,MSW,,,,,,,,,,https://zigmaglobal.in/tpty/api/product/search.php?from_date=2025-08-20&to_date=2025-08-20,2025-08-20T05:06:49.505539,zigmaglobal_api
