date,time,site_name,cluster,agency_name,material,ticket_no,vehicle_no,transfer_party_name,first_weight,first_timestamp,second_weight,second_timestamp,net_weight,material_type,first_front_image,first_back_image,second_front_image,second_back_image,site_incharge,user_name,cloud_upload_timestamp,record_status,net_weight_calculated,_source_file,_processed_timestamp,_folder_source
2025-07-06,3:07:59,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1202,AP 26 TA 0434,On-site,24950,06-07-2025 2:48:13,10010,06-07-2025 3:07:48,14940,Inert,Bethamcherla_AP_26_TA_0434_20250706_024819_1st_front.jpg,Bethamcherla_AP_26_TA_0434_20250706_024823_1st_back.jpg,Bethamcherla_AP_26_TA_0434_20250706_030753_2nd_front.jpg,Bethamcherla_AP_26_TA_0434_20250706_030756_2nd_back.jpg,Avijit Mondal,admin,2025-07-06 3:07:59,complete,14940,Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla/2025-07-06/json_backups/Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla/T1202/20250706_030759.json,2025-07-07 3:50:03,Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla
2025-07-06,16:58:17,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1261,AP28TC8081,On-site,28950,06-07-2025 16:16:09,10520,06-07-2025 16:58:08,18430,Soil,Bethamcherla_AP28TC8081_20250706_161615_1st_front.jpg,Bethamcherla_AP28TC8081_20250706_161617_1st_back.jpg,Bethamcherla_AP28TC8081_20250706_165813_2nd_front.jpg,Bethamcherla_AP28TC8081_20250706_165815_2nd_back.jpg,Avijit Mondal,admin,2025-07-06 16:58:29,complete,28950,Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla/2025-07-06/json_backups/Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla/T1261/20250706_165829.json,2025-07-07 3:50:03,Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla
2025-07-06,17:33:26,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Soil,T1265,AP27TW7569,On-site,29110,06-07-2025 17:13:14,10680,06-07-2025 17:33:15,18430,Soil,Bethamcherla_AP27TW7569_20250706_171319_1st_front.jpg,Bethamcherla_AP27TW7569_20250706_171322_1st_back.jpg,Bethamcherla_AP27TW7569_20250706_173319_2nd_front.jpg,Bethamcherla_AP27TW7569_20250706_173323_2nd_back.jpg,Avijit Mondal,admin,2025-07-06 17:33:27,complete,18430,Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla/2025-07-06/json_backups/Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla/T1265/20250706_173327.json,2025-07-07 3:50:03,Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla
2025-07-06,3:04:33,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1200,AP21TB4935,On-site,23990,06-07-2025 2:32:22,10750,06-07-2025 3:04:22,13240,Inert,Bethamcherla_AP21TB4935_20250706_023227_1st_front.jpg,Bethamcherla_AP21TB4935_20250706_023231_1st_back.jpg,Bethamcherla_AP21TB4935_20250706_030426_2nd_front.jpg,Bethamcherla_AP21TB4935_20250706_030430_2nd_back.jpg,Avijit Mondal,admin,2025-07-06 3:04:34,complete,13240,Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla/2025-07-06/json_backups/Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla/T1200/20250706_030434.json,2025-07-07 3:50:03,Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla
2025-07-06,13:20:58,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1248,AP28TC8081,On-site,29970,06-07-2025 13:16:34,11030,06-07-2025 13:20:49,18940,Legacy/MSW,Bethamcherla_AP28TC8081_20250706_131640_1st_front.jpg,Bethamcherla_AP28TC8081_20250706_131643_1st_back.jpg,Bethamcherla_AP28TC8081_20250706_132052_2nd_front.jpg,Bethamcherla_AP28TC8081_20250706_132055_2nd_back.jpg,Avijit Mondal,admin,2025-07-06 13:20:58,complete,18940,Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla/2025-07-06/json_backups/Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla/T1248/20250706_132058.json,2025-07-07 3:50:04,Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla
2025-07-06,21:23:39,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1282,AP28TC8081,On-site,29500,06-07-2025 21:06:37,11555,06-07-2025 21:23:30,17945,Legacy/MSW,Bethamcherla_AP28TC8081_20250706_210640_1st_front.jpg,Bethamcherla_AP28TC8081_20250706_210643_1st_back.jpg,Bethamcherla_AP28TC8081_20250706_212333_2nd_front.jpg,Bethamcherla_AP28TC8081_20250706_212335_2nd_back.jpg,Avijit Mondal,admin,2025-07-06 21:23:39,complete,29500,Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla/2025-07-06/json_backups/Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla/T1282/20250706_212339.json,2025-07-07 3:50:04,Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla
2025-07-06,11:25:40,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1233,AP 26 TA 0434,On-site,24130,06-07-2025 11:19:50,10040,06-07-2025 11:25:30,14090,Legacy/MSW,Bethamcherla_AP_26_TA_0434_20250706_111954_1st_front.jpg,Bethamcherla_AP_26_TA_0434_20250706_111958_1st_back.jpg,Bethamcherla_AP_26_TA_0434_20250706_112533_2nd_front.jpg,Bethamcherla_AP_26_TA_0434_20250706_112536_2nd_back.jpg,Avijit Mondal,admin,2025-07-06 11:25:40,complete,14090,Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla/2025-07-06/json_backups/Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla/T1233/20250706_112540.json,2025-07-07 3:50:04,Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla
2025-07-06,2:05:05,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1195,AP27TW7569,On-site,27420,06-07-2025 1:49:08,10970,06-07-2025 2:04:54,16450,Inert,Bethamcherla_AP27TW7569_20250706_014912_1st_front.jpg,Bethamcherla_AP27TW7569_20250706_014918_1st_back.jpg,Bethamcherla_AP27TW7569_20250706_020458_2nd_front.jpg,Bethamcherla_AP27TW7569_20250706_020502_2nd_back.jpg,Avijit Mondal,admin,2025-07-06 2:05:06,complete,16450,Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla/2025-07-06/json_backups/Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla/T1195/20250706_020506.json,2025-07-07 3:50:04,Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla
2025-07-06,13:14:37,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T1247,AP26TA0434,On-site,29180,06-07-2025 13:07:51,10100,06-07-2025 13:14:26,19080,Legacy/MSW,Bethamcherla_AP26TA0434_20250706_130755_1st_front.jpg,Bethamcherla_AP26TA0434_20250706_130758_1st_back.jpg,Bethamcherla_AP26TA0434_20250706_131430_2nd_front.jpg,Bethamcherla_AP26TA0434_20250706_131433_2nd_back.jpg,Avijit Mondal,admin,2025-07-06 13:14:42,complete,29180,Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla/2025-07-06/json_backups/Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla/T1247/20250706_131442.json,2025-07-07 3:50:04,Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla
2025-07-06,1:39:24,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Inert,T1192,AP27TW7569,On-site,28450,06-07-2025 1:20:59,10930,06-07-2025 1:39:10,17520,Inert,Bethamcherla_AP27TW7569_20250706_012112_1st_front.jpg,Bethamcherla_AP27TW7569_20250706_012115_1st_back.jpg,Bethamcherla_AP27TW7569_20250706_013915_2nd_front.jpg,Bethamcherla_AP27TW7569_20250706_013919_2nd_back.jpg,Avijit Mondal,admin,2025-07-06 1:39:24,complete,17520,Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla/2025-07-06/json_backups/Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla/T1192/20250706_013924.json,2025-07-07 3:50:04,Saurashtra_Enviro_Projects_Pvt._Ltd./Bethamcherla
